research_question,analysis_stage,estimand_or_metric,estimate,uncertainty_low,uncertainty_high,multiplicity_or_decision_rule,governed_conclusion,authorized_wording,prohibited_interpretation,source_artifact
RQ2-1 functional-health validation,Stage 2,Adjusted prevalence ratio per 5-year higher acceleration,1.1475644343644,1.09984405187883,1.19735532393747,Primary prespecified global linear summary,"Positive adjusted association with serious mobility disability, interpreted with strong nonlinearity.",Higher acceleration was associated with higher mobility-disability prevalence; the global linear summary was PR 1.148 (95% CI 1.100–1.197).,"Constant effect, causal effect, individual probability, or clinical threshold.",config/v2_stage2_release.json::primary_result.prespecified_global_linear_summary; results/tables/v2/11_stage2_release_summary.csv::role=primary
RQ2-1 shape diagnostic,Stage 2,Nonlinearity tests,quasi-Poisson p=0.000176974908863395; logistic spline p=0.000916263045884809,,,Prespecified spline diagnostic,Strong evidence that the acceleration association is nonlinear.,The association was nonlinear and strongest in the lower-to-middle acceleration range.,"Uniform 5-year effect, protective low-tail claim, or threshold discovery.",results/tables/v2/09_stage2_nonlinearity_review.csv::outcome=mobility_disability
RQ2-2 secondary health validation,Stage 2,Adjusted prevalence ratio: Any six-domain disability,1.11175768051483,1.07313632544011,1.15176898860152,Holm-adjusted secondary family,Supportive positive secondary association.,Acceleration was positively associated with any six-domain disability after Holm adjustment.,"Independent primary confirmation, causal effect, or clinical prediction.","results/tables/v2/11_stage2_release_summary.csv::role=secondary,outcome=any_disability_six"
RQ2-2 secondary health validation,Stage 2,Adjusted prevalence ratio: Fair or poor general health,1.16412825764386,1.12929810066504,1.20003265696351,Holm-adjusted secondary family,Supportive positive secondary association.,Acceleration was positively associated with fair or poor general health after Holm adjustment.,"Independent primary confirmation, causal effect, or clinical prediction.","results/tables/v2/11_stage2_release_summary.csv::role=secondary,outcome=fair_poor_general_health"
RQ2-2 secondary health validation,Stage 2,Adjusted prevalence ratio: PHQ-9 score ≥10,1.15955044738036,1.10191745564465,1.22019778626104,Holm-adjusted secondary family,Supportive positive secondary association.,Acceleration was positively associated with phq-9 score ≥10 after Holm adjustment.,"Independent primary confirmation, causal effect, or clinical prediction.","results/tables/v2/11_stage2_release_summary.csv::role=secondary,outcome=phq9_ge10"
RQ2-4 transportability,Stage 3,Global race/ethnicity interaction test for frozen linear acceleration summary,0.000255872749735952,,,BH q=0.10 across four families; q=0.00102349099894381,"Race/ethnicity family supported; sex, age-group, and cycle families unsupported.","Heterogeneity was supported only for the prespecified global race/ethnicity interaction family, with strict social-classification guardrails.","Biological difference, causality, pairwise ranking, or subgroup risk ordering.",config/v2_stage3_release.json::transportability_release; results/tables/v2/13_stage3_transportability_global_tests.csv::dimension=race_ethnicity
RQ2-3 incremental utility,Stage 3,Brier delta C−B,-0.0030339161930044,-0.005222375868507,-0.0008454565175018,Frozen bidirectional cross-cycle rule with 500 stratified-PSU bootstrap replicates,Model C showed modest incremental out-of-cycle prediction within NHANES beyond Model B.,Adding acceleration modestly improved pooled cross-cycle Brier score and AUC within NHANES 2015–2018.,"Independent-cohort validation, clinical utility, or individual risk prediction.",config/v2_stage3_release.json::prediction_release.prediction_brier_delta_c_minus_b; results/tables/v2/15_stage3_release_summary.csv::component=prediction_brier_delta_c_minus_b
RQ2-3 incremental utility,Stage 3,AUC delta C−B,0.0340510458845171,0.0164744275891323,0.051627664179902,Frozen bidirectional cross-cycle rule with 500 stratified-PSU bootstrap replicates,Model C showed modest incremental out-of-cycle prediction within NHANES beyond Model B.,Adding acceleration modestly improved pooled cross-cycle Brier score and AUC within NHANES 2015–2018.,"Independent-cohort validation, clinical utility, or individual risk prediction.",config/v2_stage3_release.json::prediction_release.prediction_auc_delta_c_minus_b; results/tables/v2/15_stage3_release_summary.csv::component=prediction_auc_delta_c_minus_b
RQ2-5 controlled innovation,Stage 4,Brier delta D−C,-0.0009703249310347,-0.0030928097750904,0.0011521599130209,Frozen joint positive-extension rule with 500 stratified-PSU bootstrap replicates,The main-effects EBM did not demonstrate incremental predictive improvement beyond Model C.,The EBM did not establish improvement beyond Model C; Model C remained preferred.,"EBM superiority, EBM harm, clinical utility, or post-result model search.",config/v2_stage4_release.json::incremental_prediction_release.brier_delta_d_minus_c; results/tables/v2/20_stage4_release_summary.csv::component=brier_delta_d_minus_c
RQ2-5 controlled innovation,Stage 4,AUC delta D−C,-0.0001606680664727,-0.0140726788023686,0.0137513426694231,Frozen joint positive-extension rule with 500 stratified-PSU bootstrap replicates,The main-effects EBM did not demonstrate incremental predictive improvement beyond Model C.,The EBM did not establish improvement beyond Model C; Model C remained preferred.,"EBM superiority, EBM harm, clinical utility, or post-result model search.",config/v2_stage4_release.json::incremental_prediction_release.auc_delta_d_minus_c; results/tables/v2/20_stage4_release_summary.csv::component=auc_delta_d_minus_c
RQ2-5 explainability sensitivity,Stage 4,Cycle-trained acceleration-term Spearman rank correlation,0.9806971522079938,,,Frozen minimum 0.7 over 101 eligible grid points,Global acceleration rank-shape stability passed the governed rule.,The cycle-trained acceleration term functions were highly rank-correlated over common support.,"Exact curve agreement, prevalence ratio, causal effect, threshold, or local explanation.",results/tables/v2/18_stage4_shape_stability.csv::single_row
Final model-role synthesis,Stage 5,Governed model-role decision,Stage3_Model_C,,,Stage 3 positive incremental rule plus Stage 4 failed positive extension rule,Model C remains the preferred prediction model; Model D is descriptive global-shape sensitivity only.,Model C remained preferred after the controlled EBM extension failed to establish incremental benefit.,"Model D promotion, diagnostic ranking as scientific effect, or clinical deployment.",config/v2_stage4_release.json::incremental_prediction_release.preferred_prediction_model
