claim_id,topic,status,authorized_wording,restriction_or_reason,source
C-01,Stage 2 primary association,authorized_with_restrictions,Higher acceleration was associated with higher serious mobility-disability prevalence; report the global PR with explicit nonlinearity.,"Observational, survey-weighted association; not constant across the acceleration range.",config/v2_stage2_release.json::primary_result
C-02,Stage 2 nonlinearity,authorized,The adjusted association was nonlinear and strongest in the lower-to-middle acceleration range.,No threshold or protective-tail interpretation.,config/v2_stage2_release.json::nonlinearity
C-03,Secondary outcomes,authorized_with_restrictions,Positive Holm-adjusted associations were observed for the three prespecified secondary outcomes.,Supportive secondary evidence; not separate primary validation claims.,results/tables/v2/11_stage2_release_summary.csv::role=secondary
C-04,Race/ethnicity interaction,authorized_with_restrictions,The prespecified global race/ethnicity interaction family was supported after BH control.,"Global linear summary only; race/ethnicity is a social classification; no biological, causal, or ranking claim.",config/v2_stage3_release.json::transportability_release
C-05,"Sex, age-group, cycle interactions",unsupported,"No supported interaction-family conclusion for sex, age group, or NHANES cycle.",Families did not pass the frozen BH q=0.10 rule.,results/tables/v2/13_stage3_transportability_global_tests.csv::dimension=sex|age_group|NHANES_cycle
C-06,Model C incremental prediction,authorized_with_restrictions,Model C modestly improved bidirectional cross-cycle prediction within NHANES 2015–2018 beyond Model B.,"Not independent external-cohort validation, clinical utility, or individual risk prediction.",config/v2_stage3_release.json::prediction_release
C-07,Model D incremental prediction,unsupported,The main-effects EBM did not demonstrate incremental predictive improvement beyond Model C.,Intervals permit small benefit or small harm; failure is not evidence of harm.,config/v2_stage4_release.json::incremental_prediction_release
C-08,Model D as preferred model,prohibited,Model C remains the preferred prediction model.,The frozen positive extension rule failed.,config/v2_stage4_release.json::incremental_prediction_release
C-09,Global EBM acceleration shape,authorized_with_restrictions,Cycle-trained acceleration-term functions were highly rank-correlated over governed common support.,"Descriptive global-shape sensitivity only; no exact curve agreement, threshold, causality, or local explanation.",config/v2_stage4_release.json::global_explanation_release
C-10,Causality,prohibited,Use associational language only.,Observational NHANES design.,docs/v2/V2_Research_Protocol.md::causal-boundary
C-11,Clinical or participant-level product,prohibited,"No clinical threshold, treatment rule, individual risk score, or participant-level explanation is released.",Outside governed scope and absent clinical-utility evaluation.,config/v2_stage4_release.json::incremental_prediction_release.guardrails
C-12,Final V2 release and main merge,pending_final_review,Stage 5 is a release candidate pending separate human review.,"Final V2 release, final manuscript claims, ARISE submission, and merge to main remain unauthorized.",config/v2_stage5_release_candidate.json::release-controls
